2025-08-13T22:17:49.955550 | user:7342030825 (@skyw_scm) | city:Саратов | product:🍫 Шоколад | price:200 | district:Центр | pay:₿ Bitcoin
2025-08-13T22:23:50.963939 | user:7342030825 (@skyw_scm) | city:Саратов | product:🍯 Мёд липовый | price:500 | district:Центр | pay:💵 USDT
2025-08-13T22:24:22.977235 | user:7342030825 (@skyw_scm) | city:Саратов | product:🍫 Шоколад | price:200 | district:Центр | pay:₿ Bitcoin
2025-08-13T22:30:02.266342 | user:7342030825 (@skyw_scm) | city:Саратов | product:🍬 Конфеты ассорти | price:260 | district:Кировский | pay:💳 Перевод на карту
2025-08-13T22:35:27.933744 | user:7342030825 (@skyw_scm) | city:Саратов | product:🍫 Шоколад | price:200 | district:Центр | pay:₿ Bitcoin
2025-08-13T22:44:11.194238 | user:7342030825 (@skyw_scm) | city:Саратов | product:🍫 Шоколад | price:200 | district:Центр | pay:₿ Bitcoin
2025-08-13T22:52:36.081960 | user:7342030825 (@skyw_scm) | city:Саратов | product:🍫 Шоколад | price:200 | district:Центр | pay:₿ Bitcoin
2025-08-13T23:03:39.665742 | user:7342030825 (@skyw_scm) | city:Саратов | product:🧀 Сыр гауда | price:420 | district:Центр | pay:₿ Bitcoin
2025-08-13T23:05:31.807276 | user:7342030825 (@skyw_scm) | city:Армавир | product:🍉 Арбуз | price:220 | district:Центр | pay:💵 USDT
2025-08-13T23:07:43.008471 | user:7342030825 (@skyw_scm) | city:Саратов | product:🍷 Напиток виноградный | price:600 | district:Центр | pay:₿ Bitcoin
2025-08-13T23:21:51.053218 | user:7342030825 (@skyw_scm) | city:Саратов | product:🍫 Шоколад | price:200 | district:Центр | pay:₿ Bitcoin
2025-08-13T23:35:08.059461 | user:7342030825 (@skyw_scm) | city:Саратов | product:🍫 Шоколад | price:200 | district:Центр | pay:₿ Bitcoin
2025-08-13T23:36:19.289685 | user:7342030825 (@skyw_scm) | city:Саратов | product:🍫 Шоколад | price:200 | district:Центр | pay:₿ Bitcoin
2025-08-14T00:08:10.891635 | user:7342030825 (@skyw_scm) | city:Саратов | product:🍫 Шоколад | price:200 | district:Центр | pay:💵 USDT
2025-08-14T01:12:00.654289 | user:1025929352 (@g3e1ka) | city:Саратов | product:✨ МЕФ crystal VHQ 99%✨ 2г | price:6900 | district:Центр | pay:💵 USDT
2025-08-14T01:13:59.532724 | user:7342030825 (@skyw_scm) | city:Саратов | product:🍫Гашиш Изолятор🍫 1г | price:3000 | district:Центр | pay:₿ Bitcoin
2025-08-14T01:52:12.640056 | user:7342030825 (@skyw_scm) | city:Саратов | product:🍫Гашиш Изолятор🍫 1г | price:3000 | district:Фрунзенский | pay:💳 Перевод на карту
2025-08-14T04:34:52.191432 | user:7342030825 (@skyw_scm) | city:Саратов | product:💍 Героин Свежий привоз 💍 0.5г | price:4000 | district:Фрунзенский | pay:₿ Bitcoin
